cl_from	cl_to
824751	361955
396576	312430
1069357	1610978
474209	362559
821479	361955
514634	1508514
514634	1508517
396171	312430
457153	1011
722371	1561
535783	1001825
868602	361955
859167	361955
181408	1651050
855474	361955
460648	362559
2138	1518626
534428	1518626
253045	312430
869202	361955
797939	361955
742616	361955
448560	362559
460391	362559
811768	361955
828047	361955
711171	361955
451657	362559
446473	1406531
3658	1096
474531	362559
1112412	1581004
865696	361955
474202	362559
822117	361955
457198	362559
816913	361955
820638	361955
821090	361955
407619	312430
1200746	1499472
1074798	1581003
18202	1486488
818956	361955
331347	10771
613457	361955
438684	1373
698388	361955
688096	1580994
1010200	283143
867329	361955
890592	361955
883541	361955
455944	362559
818194	361955
865259	361955
671307	361955
441654	362559
149656	1326
149656	681680
879562	361955
824220	361955
813982	361955
825813	361955
883955	361955
880404	361955
869805	361955
818928	361955
843484	361955
879156	361955
890271	361955
446360	362559
868443	361955
811310	361955
862948	361955
884478	361955
867729	361955
938083	1499472
885300	361955
304958	312430
304958	1000324
143146	875
98243	1154
908475	1651050
890281	361955
463863	362559
448183	362559
447732	362559
443348	362559
367897	1000324
454925	362559
452664	362559
435513	312430
890291	361955
825819	361955
321537	1651050
433285	362559
398598	312430
52906	490700
711054	361955
578873	1001825
469180	362559
302306	312430
441614	362559
325715	312430
463148	362559
403161	312430
447957	362559
871673	361955
864554	361955
857295	361955
291142	1001825
181750	1651050
772068	1499472
608883	361955
127062	11026
181768	1651050
919177	1651050
733708	361955
457197	362559
817951	361955
446451	362559
157781	362559
1247635	361955
816428	361955
460832	362559
890560	361955
825297	361955
777427	1462
1252740	5255
1252740	5256
864022	361955
556474	1095
97428	1406531
847883	361955
1191080	312430
818913	361955
625057	1572233
873456	361955
743521	241896
828165	361955
466111	362559
505099	1499472
811330	361955
860314	361955
219875	5367
438017	362559
457152	362559
427789	362559
76220	1239
76220	1241
76220	11032
431994	362559
649628	1610973
1121383	1610978
867732	361955
459193	1069
861781	361955
451312	362559
448563	362559
282863	1426885
1003614	312430
366549	963
941841	1568009
1136890	5369
817955	361955
149657	1326
149657	681680
818184	361955
818184	1225546
827973	361955
433150	362559
660832	1067
427824	1269
737035	1590
306170	1309
414015	1421
588506	849
293501	806
483390	1418
9317	835
9317	836
9317	837
141832	594073
835595	814
835595	1581004
459600	807
128820	5363
128820	10707
738766	593951
432356	362559
